Sample,Country,Depth
T_2_1,Tazmania,2
T_2_10,Tazmania,2
T_2_12,Tazmania,2
T_2_2,Tazmania,2
T_2_3,Tazmania,2
T_2_6,Tazmania,2
T_2_7,Tazmania,2
T_2_9,Tazmania,2
T_3_2,Tazmania,3
T_3_3,Tazmania,3
T_3_5,Tazmania,3
T_4_3,Tazmania,4
T_4_4,Tazmania,4
T_4_5,Tazmania,4
T_4_6,Tazmania,4
T_4_7,Tazmania,4
T_5_2,Tazmania,5
T_5_3,Tazmania,5
T_5_4,Tazmania,5
T_5_5,Tazmania,5
T_6_2,Tazmania,6
T_6_5,Tazmania,6
T_6_7,Tazmania,6
T_6_8,Tazmania,6
T_9_1,Tazmania,9
T_9_2,Tazmania,9
T_9_3,Tazmania,9
T_9_4,Tazmania,9
T_9_5,Tazmania,9
V_1_2,Vietnam,1
V_10_1,Vietnam,10
V_11_1,Vietnam,11
V_11_2,Vietnam,11
V_11_3,Vietnam,11
V_12_1,Vietnam,12
V_12_2,Vietnam,12
V_13_1,Vietnam,13
V_13_2,Vietnam,13
V_14_1,Vietnam,14
V_14_2,Vietnam,14
V_14_3,Vietnam,14
V_15_1,Vietnam,15
V_15_2,Vietnam,15
V_15_3,Vietnam,15
V_16_1,Vietnam,16
V_16_2,Vietnam,16
V_17_1,Vietnam,17
V_17_2,Vietnam,17
V_18_1,Vietnam,18
V_18_2,Vietnam,18
V_18_3,Vietnam,18
V_18_4,Vietnam,18
V_19_1,Vietnam,19
V_19_2,Vietnam,19
V_19_3,Vietnam,19
V_2_1,Vietnam,2
V_2_2,Vietnam,2
V_2_3,Vietnam,2
V_20_1,Vietnam,20
V_21_1,Vietnam,21
V_21_4,Vietnam,21
V_22_1,Vietnam,22
V_22_3,Vietnam,22
V_22_4,Vietnam,22
V_3_1,Vietnam,3
V_3_2,Vietnam,3
V_4_1,Vietnam,4
V_4_2,Vietnam,4
V_5_1,Vietnam,5
V_5_3,Vietnam,5
V_6_1,Vietnam,6
V_6_2,Vietnam,6
V_6_3,Vietnam,6
V_7_1,Vietnam,7
V_7_2,Vietnam,7
V_7_3,Vietnam,7
V_8_2,Vietnam,8
V_9_1,Vietnam,9
V_9_2,Vietnam,9
V_9_3,Vietnam,9
V_9_4,Vietnam,9
