"Genus","Family","Order","Superorder","Subclass"
"Achillea","Asteraceae","Asterales","Asteranae","Magnoliidae"
"Agrostis","Poaceae","Poales","Lilianae","Magnoliidae"
"Aira","Poaceae","Poales","Lilianae","Magnoliidae"
"Alopecurus","Poaceae","Poales","Lilianae","Magnoliidae"
"Anthoxanthum","Poaceae","Poales","Lilianae","Magnoliidae"
"Bellis","Asteraceae","Asterales","Asteranae","Magnoliidae"
"Bromus","Poaceae","Poales","Lilianae","Magnoliidae"
"Chenopodium","Amaranthaceae","Caryophyllales","Caryophyllanae","Magnoliidae"
"Cirsium","Asteraceae","Asterales","Asteranae","Magnoliidae"
"Comarum","Rosaceae","Rosales","Rosanae","Magnoliidae"
"Eleocharis","Cyperaceae","Poales","Lilianae","Magnoliidae"
"Elymus","Poaceae","Poales","Lilianae","Magnoliidae"
"Empetrum","Ericaceae","Ericales","Asteranae","Magnoliidae"
"Hypochaeris","Asteraceae","Asterales","Asteranae","Magnoliidae"
"Juncus","Juncaceae","Poales","Lilianae","Magnoliidae"
"Juncus","Juncaceae","Poales","Lilianae","Magnoliidae"
"Lolium","Poaceae","Poales","Lilianae","Magnoliidae"
"Plantago","Plantaginaceae","Lamiales","Asteranae","Magnoliidae"
"Poa","Poaceae","Poales","Lilianae","Magnoliidae"
"Poa","Poaceae","Poales","Lilianae","Magnoliidae"
"Ranunculus","Ranunculaceae","Ranunculales","Ranunculanae","Magnoliidae"
"Rumex","Polygonaceae","Caryophyllales","Caryophyllanae","Magnoliidae"
"Sagina","Caryophyllaceae","Caryophyllales","Caryophyllanae","Magnoliidae"
"Salix","Salicaceae","Malpighiales","Rosanae","Magnoliidae"
"Scorzoneroides","Asteraceae","Asterales","Asteranae","Magnoliidae"
"Trifolium","Fabaceae","Fabales","Rosanae","Magnoliidae"
"Trifolium","Fabaceae","Fabales","Rosanae","Magnoliidae"
"Vicia","Fabaceae","Fabales","Rosanae","Magnoliidae"
"Brachythecium","Brachytheciaceae","Hypnales","Bryanae","Bryidae"
"Calliergonella","Hypnaceae","Hypnales","Bryanae","Bryidae"
